"doi","publication_date","title","journal","issn","publisher","member_id"
"10.1080/09507116.2013.796634","2013-10","Welding of VNS-72 high-strength stainless steel","Welding International","0950-7116","Informa UK Limited",301
"10.1088/1367-2630/15/7/078001","2013-07-01","Comment on Reply to Comment on Encoding many channels on the same frequency through radio vorticity: first experimental test ","New J. Phys.","1367-2630","IOP Publishing",266
"10.4028/www.scientific.net/amr.781-784.1152","2013-09","Inhibitory Effects of Natural Food Dyes Genistein on Invasion of SKOV3 Human Ovarian Carcinoma Cells <i>In Vivo</i> and <i>In Vitro</i>","AMR","1662-8985","Trans Tech Publications",2457
"10.1016/s0716-8640(13)70253-0","2013-11","Neuropsicologü¾¼a en epilepsia","Revista Médica Clínica Las Condes","0716-8640","Elsevier BV",78
"10.1177/006996671204700102","2013-02-01","Igniting food assemblages in Sri Lanka: Ritual cooking to regenerate the world and interrelations","Contributions to Indian Sociology","0069-9667","SAGE Publications",179
"10.1088/0031-9155/58/19/6985","2013-09-13","Conversion of ICRP male reference phantom to polygon-surface phantom","Physics in Medicine and Biology","0031-9155","IOP Publishing",266
"10.1016/j.trc.2013.05.009","2013-09","Unified estimator for excess journey time under heterogeneous passenger incidence behavior using smartcard data","Transportation Research Part C: Emerging Technologies","0968-090X","Elsevier BV",78
"10.1038/ng.2818","2013-10-29","Clinical diagnostic sequencing","Nat Genet","1061-4036","Nature Publishing Group",339
"10.1016/j.prp.2012.10.010","2013-02","Detection of mucosal type human papillomavirus in cutaneous squamous cell carcinoma in Iran","Pathology - Research and Practice","0344-0338","Elsevier BV",78
"10.1177/0954411913487851","2013-05-22","A critical study on the experimental determination of stiffness and viscosity of the human triceps surae by free vibration methods","Proceedings of the Institution of Mechanical Engineers","0954-4119","SAGE Publications",179
"10.1163/15718107-08201009","2013-01-01","U. Magnus and P. Mankowski (eds.), Brussels I Regulation, 2nd revised edition, Sellier, Munich, 2012. ISBN 978-3-86653-142-0; xxvii + 972 pages.","Nordic Journal of International Law","0902-7351","Brill Academic Publishers",50
"10.1007/s00103-013-1885-0","2013-12-21","Epidemiologische Krebsregistrierung in Deutschland","Bundesgesundheitsbl.","1436-9990","Springer Science + Business Media",297
"10.1016/j.apsusc.2013.06.027","2013-10","Fabrication and characteristics of self-assembly nano-polystyrene films by laser induced CVD","Applied Surface Science","0169-4332","Elsevier BV",78
"10.1142/s0219877013500107","2013-08","SERVICE COMPETITION, FIRM PERFORMANCE AND RESOURCE ALLOCATION IN MANUFACTURING: EVIDENCE FROM FIRM-LEVEL DATA IN CHINA","International Journal of Innovation and Technology Management","0219-8770","World Scientific Pub Co Pte Lt",219
"10.4028/www.scientific.net/amr.846-847.1092","2013-11","Ship Detection Algorithm Based on Visual Cognition","AMR","1662-8985","Trans Tech Publications",2457
"10.1080/09515089.2013.785069","2013-04-24","Addiction and Responsibility","Philosophical Psychology","0951-5089","Informa UK Limited",301
"10.14412/1996-7012-2013-273","2013-10-14","Pain is a major component of quality of life in patients with ankylosing spondylitis and the possibilities of its relief","Modern Rheumatology Journal","2310-158X","IMA Press, LLC",5540
"10.1016/j.ymgme.2012.11.209","2013-02","Crystal structure of N-acetylgalactosamine-6-sulfatase: The molecular basis for Mucopolysaccharidosis IVA","Molecular Genetics and Metabolism","1096-7192","Elsevier BV",78
"10.1016/j.quaint.2013.06.019","2013-11","Weathering of carbonate materials in ancient Maya constructions (Rü¾¼o Bec and Dzibanchü¾¼): Limestone and stucco deterioration patterns","Quaternary International","1040-6182","Elsevier BV",78
"10.1007/s10096-013-2031-5","2013-12-14","Rapid detection of antibiotic resistance based on mass spectrometry and stable isotopes","Eur J Clin Microbiol Infect Dis","0934-9723","Springer Science + Business Media",297
"10.1038/nrrheum.2012.223","2013-01-15","MRI-based semiquantitative scoring of joint pathology in osteoarthritis","Nature Reviews Rheumatology","1759-4790","Nature Publishing Group",339
"10.1017/thg.2013.45","2013-07-22","HGSA DNA Day Essay Contest Winner 60 Years On: Still Coding for Cutting-Edge Science","Twin Research and Human Genetics","1832-4274","Cambridge University Press (CUP)",56
"10.1017/s0007114513001323","2013-04-30","Dietary electrolyte balance affects the nutrient digestibility and maintenance energy expenditure of Nile tilapia","Br J Nutr","0007-1145","Cambridge University Press (CUP)",56
"10.1098/rstb.2012.0192","2013-02-25","Identifying serotonergic mechanisms underlying the corticolimbic response to threat in humans","Philosophical Transactions of the Royal Society B: Biological Sciences","0962-8436","The Royal Society",175
"10.1111/jam.12343","2013-10-08"," Summer meeting 2013 - when the sleepers wake: the germination of spores of Bacillus species ","J Appl Microbiol","1364-5072","Wiley-Blackwell",311
"10.1007/s11431-012-5125-x","2013-01-13","Single event upset sensitivity of 45 nm FDSOI and SOI FinFET SRAM","Science China Technological Sciences","1674-7321","Springer Science + Business Media",297
"10.5788/3-1-1097","2013-01-11","Aspekte van sintaktiese inligting in verklarende Afrikaanse woordeboeke","Lexikos","2224-0039","Stellenbosch University",3820
"10.5639/gabij.2013.0201.014","2013-03-15","The future of biological therapy: a pathway forward for biosimilars","Generics and Biosimilars Initiative Journal","2033-6403","Pro Pharma Communications International",3611
"10.1007/s00439-013-1393-1","2013-11-15","Comparative-high resolution melting: a novel method of simultaneous screening for small mutations and copy number variations","Human Genetics","0340-6717","Springer Science + Business Media",297
"10.1016/j.bjoms.2013.05.041","2013-09","The effects on the upper airway following bimaxillary and bilateral sagittal split osteotomies to correct malocclusion","British Journal of Oral and Maxillofacial Surgery","0266-4356","Elsevier BV",78
"10.7227/nctf.40.1.5","2013-07-01","Nineteenth-Century Travel Accounts of America and Bayle Bernard's <I>The Yankee Pedlar</I>","Nineteenth Century Theatre and Film","1748-3727","Manchester University Press",4230
"10.1109/tkde.2012.131","2013-09","Discrete Elastic Inner Vector Spaces with Application to Time Series and Sequence Mining","IEEE Transactions on Knowledge and Data Engineering","1041-4347","Institute of Electrical & Electronics Engineers (IEEE)",263
"10.2478/jser-2013-001310.2478","2013-01-01","""The Other"" in the Light of Integration and Inclusion In The Israeli Educational System And Society: A ""Significant Other"" Indeed?","Journal of Special Education and Rehabilitation","1857-663X","De Gruyter Open Sp. z o.o.",1316
"10.1002/adfm.201301242","2013-11-18","Competing Crystal Growth in Ge-Sb Phase-Change Films","Advanced Functional Materials","1616-301X","Wiley-Blackwell",311
"10.1016/j.jpain.2012.12.014","2013-04","Mere Intention to Perform Painful Movements Elicits Fear ofü¾¼Movement-Related Pain: An Experimental Study on Fear Acquisition Beyond Actual Movements","The Journal of Pain","1526-5900","Elsevier BV",78
"10.1371/annotation/d2692d0c-26c3-4a7d-b4f5-1139e051e59a","2013-06-14","Correction: Effectiveness of Cognitive Behavioral Therapy for Depression in Patients Receiving Disability Benefits: A Systematic Review and Individual Patient Data Meta-Analysis","PLoS ONE","1932-6203","Public Library of Science (PLoS)",340
"10.1002/app.40036","2013-10-23"," Electronic properties of polypyrrole based TiO 2 nanofiber composite ","Journal of Applied Polymer Science","0021-8995","Wiley-Blackwell",311
"10.1161/circulationaha.113.005081","2013-12-13","Renal Hemodynamic Effect of Sodium-Glucose Cotransporter 2 Inhibition in Patients With Type 1 Diabetes Mellitus","Circulation","0009-7322","Ovid Technologies (Wolters Kluwer Health)",276
"10.4028/www.scientific.net/msf.763.145","2013-07","Challenges in Drilling of Multi-Materials","MSF","1662-9752","Trans Tech Publications",2457
"10.1055/s-0033-1344766","2013-09-12","Die Zeit und das Geld","Krankenh.hyg. up2date","1862-5797","Thieme Publishing Group",194
"10.1134/s2070048213060045","2013-11","Equivalent difference schemes for equations of gas dynamics of the first and second orders","Mathematical Models and Computer Simulations","2070-0482","Pleiades Publishing Ltd",137
"10.1386/fiin.11.2.89_7","2013-03-01","Spotlight on Gillian Armstrong","Film International","1651-6826","Intellect",358
"10.1002/dc.22982","2013-06-08","Clinical significance of atypical squamous cells cannot exclude high grade squamous intraepithelial lesion with histologic correlation-: A 9-Year experience","Diagn. Cytopathol","8755-1039","Wiley-Blackwell",311
"10.11646/zootaxa.3700.3.10","2013-08-14","<p class=""HeadingRunIn""><strong>Crossodactylodinae Fouquet, Blotto, Maronna, Verdade, Juncü¾¼, de Sü¾¼ &amp; Trefaut Rodrigues, 2013 is an invalid junior synonym of Paratelmatobiinae Ohler &amp; Dubois, 2012 (Amphibia, Anura)</strong></p>","Zootaxa","1175-5334","Magnolia Press",4913
"10.1111/imig.12138","2013-11-11","Double Return Migration: Failed Returns to Poland Leading to Settlement Abroad and New Transnational Strategies","Int Migr","0020-7985","Wiley-Blackwell",311
"10.1365/s35141-013-0601-x","2013-03","Mobile Nutzer investieren mehr beim Autokauf","Sales Bus","1616-7902","Springer Fachmedien Wiesbaden GmbH",93
"10.4054/demres.2013.29.29","2013-07","Effects of Parental Union Dissolution on Child Mortality and Child Schooling in Burkina Faso","DemRes","1435-9871","Max Planck Institute for Demographic Research",2492
"10.1007/s00521-013-1402-2","2013-04-11","Discrete cuckoo search algorithm for the travelling salesman problem","Neural Comput & Applic","0941-0643","Springer Science + Business Media",297
"10.1016/j.jmbbm.2012.11.013","2013-02","Enhancement of adhesive strength of hydroxyapatite films on Ti29Nb13Ta4.6Zr by surface morphology control","Journal of the Mechanical Behavior of Biomedical Materials","1751-6161","Elsevier BV",78
"10.1016/j.dam.2013.05.014","2013-11","Bounds on neighborhood total domination in graphs","Discrete Applied Mathematics","0166-218X","Elsevier BV",78
"10.1016/j.orgel.2012.11.027","2013-02","Plasmonic Au nanoparticles for enhanced broadband light absorption in inverted organic photovoltaic devices by plasma assisted physical vapour deposition","Organic Electronics","1566-1199","Elsevier BV",78
"10.1002/ppul.22752","2013-02-08","Effects of prednisolone on refractory mycoplasma pneumoniae pneumonia in children","Pediatr Pulmonol.","8755-6863","Wiley-Blackwell",311
"10.1055/s-0033-1343778","2013-06-05","Sphenoid Sinus and Sphenoid Bone Fractures in Patients with Craniomaxillofacial Trauma","Cranial Maxillofac Trauma Reconstruction","1943-3875","Thieme Publishing Group",194
"10.1016/j.jpba.2013.05.012","2013-10","Investigation of transport of genistein, daidzein and their inclusion complexes prepared with different cyclodextrins on Caco-2 cell line","Journal of Pharmaceutical and Biomedical Analysis","0731-7085","Elsevier BV",78
"10.4314/njtr.v8i2.96689","2013-11-09","Non-parametric analysis of production efficiency of poultry egg farmers in Delta State, Nigeria","Nigerian Journal of Technological Research","0795-5111","African Journals Online (AJOL)",2895
"10.1158/1538-7445.am2013-3736","2013-04-15","Abstract 3736: IL6 feedback loop regulates breast cancer stem cells which mediate trastuzumab resistance.","Cancer Research","0008-5472","American Association for Cancer Research (AACR)",1086
"10.1017/s1060150312000204","2013-01-18","FORM AND REFORM: THE MISCELLANY NOVEL","Victorian Literature and Culture","1060-1503","Cambridge University Press (CUP)",56
"10.1016/j.jpainsymman.2012.10.019","2013-02","Mentoring Academy: An Immersive Learning Workshop for Interdisciplinary Professionals (P13)","Journal of Pain and Symptom Management","0885-3924","Elsevier BV",78
"10.7813/2075-4124.2013/5-4/b.55","2013-08-21","The effect of micro-teaching applications that are used in teaching practice course on classroom management self-efficacy convictions of students","International Journal of Academic Research","2075-4124","Progress IPS",4553
"10.1021/jf402456v","2013-09-11","Role of the N-Terminal Amphiphilic Region of Ovalbumin during Heat-Induced Aggregation and Gelation","Journal of Agricultural and Food Chemistry","0021-8561","American Chemical Society (ACS)",316
"10.1007/s00395-013-0354-0","2013-05-07","The physiological significance of a coronary stenosis differentially affects contractility and mitochondrial function in viable chronically dysfunctional myocardium","Basic Res Cardiol","0300-8428","Springer Science + Business Media",297
"10.4038/sljv.v3i1.5403","2013-04-10","Editorial Vol.3(1)","Sri Lanka J Vener","2279-3445","Sri Lanka Journals Online (JOL)",2473
"10.1371/journal.pone.0075342","2013-09-24","Proteomics Analysis of Human Obesity Reveals the Epigenetic Factor HDAC4 as a Potential Target for Obesity","PLoS ONE","1932-6203","Public Library of Science (PLoS)",340
"10.1055/s-0032-1332101","2013-01-11","Regulation and Function of the atypical cadherin FAT1 in hepatocellular carcinoma","Zeitschrift für Gastroenterologie","0044-2771","Thieme Publishing Group",194
"10.1038/nm.3311","2013-08-06","Microbiome: Microbial mediators","Nat Med","1078-8956","Nature Publishing Group",339
"10.1021/jo400282x","2013-05-03","Hafnium(IV) Tetratriflate as a Glycosyl Fluoride Activation Reagent","J. Org. Chem.","0022-3263","American Chemical Society (ACS)",316
"10.6007/ijarbss/v3-i12/474","2013-12-01","Ubosot: The Synthesis of Indigenous Knowledge in the Construction and Renovation of Ubosot in Bangkok and Vicinity","IJARBSS","2222-6990","Human Resources Management Academic Research Society (HRMARS)",4027
"10.1002/hyp.9921","2013-06-28","Residence time control on hot moments of net nitrate production and uptake in the hyporheic zone","Hydrol. Process.","0885-6087","Wiley-Blackwell",311
"10.1080/19438192.2013.721065","2013-03","Points of entry: South Asian immigrant women's entry into enclave entrepreneurship in Toronto","South Asian Diaspora","1943-8192","Informa UK Limited",301
"10.1016/j.enconman.2013.01.005","2013-04","Thermodynamic evaluation of a second order simulation for Yoke Ross Stirling engine","Energy Conversion and Management","0196-8904","Elsevier BV",78
"10.1111/tid.12153","2013-10-18","Association of BK viremia with human leukocyte antigen mismatches and acute rejection, but not with type of calcineurin inhibitor","Transplant Infectious Disease","1398-2273","Wiley-Blackwell",311
"10.1016/j.canlet.2012.12.019","2013-05","Zyxin cooperates with PTOV1 to confer retinoic acid resistance by repressing RAR activity","Cancer Letters","0304-3835","Elsevier BV",78
"10.1002/anie.201209651","2013-02-13"," Access to Organometallic Arylcobaltcorrins through Radical Synthesis: 4-Ethylphenylcobalamin, a Potential Antivitamin B 12  ","Angew. Chem. Int. Ed.","1433-7851","Wiley-Blackwell",311
"10.1074/jbc.m112.432302","2013-03-18","Nonclassical Activation of Hedgehog Signaling Enhances Multidrug Resistance and Makes Cancer Cells Refractory to Smoothened-targeting Hedgehog Inhibition","Journal of Biological Chemistry","0021-9258","American Society for Biochemistry & Molecular Biology (ASBMB)",28
"10.4156/jdcta.vol7.issue2.75","2013-01-31","Further Evidence of Long Memory in Chinaü¾¼ü¾¼s Stock Market Based on ARFIMA Model","JDCTA","1975-9339","AICIT",2647
"10.1002/hipo.22125","2013-06-03"," Loss of interneuron LTD and attenuated pyramidal cell LTP in Trpv1 and Trpv3 KO mice ","Hippocampus","1050-9631","Wiley-Blackwell",311
"10.1016/j.injr.2013.07.002","2013-09","International publications of interest from India (MarchMayü¾¼2013)","Indian Journal of Rheumatology","0973-3698","Elsevier BV",78
"10.1007/s10295-012-1224-8","2013-01-08","The role of aldehyde/alcohol dehydrogenase (AdhE) in ethanol production from glycerol by Klebsiella pneumoniae","Journal of Industrial Microbiology & Biotechnology","1367-5435","Springer Science + Business Media",297
"10.4028/www.scientific.net/amr.830.384","2013-10","Study on a Dynamical Model of Plankton in Lake Environment","AMR","1662-8985","Trans Tech Publications",2457
"10.1016/j.carbon.2012.09.032","2013-02","A transdermal diltiazem hydrochloride delivery device using multi-walled carbon nanotube/poly(vinyl alcohol) composites","Carbon","0008-6223","Elsevier BV",78
"10.1117/1.jbo.18.10.106012","2013-10-22","All-near-infrared multiphoton microscopy interrogates intact tissues at deeper imaging depths than conventional single- and two-photon near-infrared excitation microscopes","J. Biomed. Opt","1083-3668","SPIE-Intl Soc Optical Eng",189
"10.1016/j.breast.2012.12.017","2013-04","The importance of survivors and partners in improving breast cancer outcomes in Uganda","The Breast","0960-9776","Elsevier BV",78
"10.1038/nchem.1680","2013-06-20","On the nature and origin of dicationic, charge-separated species formed in liquid water on X-ray irradiation","Nature Chem","1755-4330","Nature Publishing Group",339
"10.1093/ckj/sft081","2013-09-01","Rituximab-associated interstitial lung disease in fibrillary glomerulonephritis","Clinical Kidney Journal","2048-8505","Oxford University Press (OUP)",286
"10.1097/qad.0b013e32835e06e6","2013-03","T-bet is overexpressed in the CD4+ T cells of HIV Controllers","AIDS","0269-9370","Ovid Technologies (Wolters Kluwer Health)",276
"10.2352/j.imagingsci.technol.2013.57.3.030502","2013-05-01","A Modification of CIECAM02 Based on the Hunt-Pointer-Estevez Matrix","j imag sci","1062-3701","Society for Imaging Science & Technology",1209
"10.1016/j.amj.2013.05.005","2013-07","Letter to the Editors","Air Medical Journal","1067-991X","Elsevier BV",78
"10.1007/s00464-013-3086-1","2013-07-12","Achieving consensus on the definition of conversion to laparotomy: a Delphi study among general surgeons, gynecologists, and urologists","Surg Endosc","0930-2794","Springer Science + Business Media",297
"10.1016/j.biocontrol.2013.01.004","2013-04","Host location by Spalangia cameroni (Hymenoptera: Pteromalidae) in equine associated substrates","Biological Control","1049-9644","Elsevier BV",78
"10.1055/s-0032-1333528","2013-01-16","Mukoviszidose  Hypertone Kochsalzlü¾¦¼sung bei Kleinkindern ohne Wirkung?","Pneumologie","0934-8387","Thieme Publishing Group",194
"10.1177/0163443712471781","2013-04-01","Fashion, celebrity and cultural workers: SJP as cultural intermediary","Media","0163-4437","SAGE Publications",179
"10.1166/jno.2013.1457","2013-02-01","Electro-Optical Properties and Raman Excitation Profiles of Deformed Carbon Nanotubes","Journal of Nanoelectronics and Optoelectronics","1555-130X","American Scientific Publishers",17
"10.1016/j.virusres.2012.09.016","2013-04","African swine fever virus morphogenesis","Virus Research","0168-1702","Elsevier BV",78
"10.1016/j.compenvurbsys.2012.11.001","2013-03","Multifractal analysis of axial maps applied to the study of urban morphology","Computers","0198-9715","Elsevier BV",78
"10.1109/tit.2013.2257918","2013-08","Upper Bounds on Matching Families in <formula formulatype=""inline""> <tex Notation=""TeX"">$\BBZ_{pq}^{n}$</tex></formula>","IEEE Transactions on Information Theory","0018-9448","Institute of Electrical & Electronics Engineers (IEEE)",263
"10.1016/s0091-6749(13)00706-9","2013-06","Information for Readers","Journal of Allergy and Clinical Immunology","0091-6749","Elsevier BV",78
"10.1007/s00184-013-0434-z","2013-03-14","M-estimators for single-index model using B-spline","Metrika","0026-1335","Springer Science + Business Media",297
"10.1016/j.bbamem.2012.11.016","2013-03","Effect of inserting charged peptide at NH2-terminal on N-type inactivation of Kv1.4 channel","Biochimica et Biophysica Acta (BBA) - Biomembranes","0005-2736","Elsevier BV",78
"10.5944/educxx1.2.16.10331","2013-09-05","APRENDER A CONTAR SEGü¾¼N EL DE COMPUTO DE RABANO MAURO","Educación XX1","2174-5374","UNED - Universidad Nacional de Educacion a Distancia",4034
"10.1016/j.ijleo.2012.06.106","2013-08","Simultaneous higher-order Hong and Mandel's squeezing of both quadrature components in orthogonal even coherent state","Optik - International Journal for Light and Electron Optics","0030-4026","Elsevier BV",78
"10.1002/rcm.6674","2013-09-02","Lysozyme-encapsulated gold nanocluster-based affinity mass spectrometry for pathogenic bacteria","Rapid Commun. Mass Spectrom.","0951-4198","Wiley-Blackwell",311
"10.1177/003172171309500207","2013-10-01","Effort Determines Success at Roxbury Prep","Phi Delta Kappan","0031-7217","SAGE Publications",179
"10.1007/s10856-013-4865-x","2013-04-21","Long-term biocompatibility evaluation of 0.5ü¾¼% zinc containing hydroxyapatite in rabbits","J Mater Sci: Mater Med","0957-4530","Springer Science + Business Media",297
"10.1098/rspa.2012.0672","2013-03-20","A note on 'Einstein's special relativity beyond the speed of light by James M. Hill and Barry J. Cox'","Proceedings of the Royal Society A: Mathematical","1364-5021","The Royal Society",175
"10.1016/j.advwatres.2012.12.007","2013-04","Effects of compound-specific transverse mixing on steady-state reactive plumes: Insights from pore-scale simulations and Darcy-scale experiments","Advances in Water Resources","0309-1708","Elsevier BV",78
"10.1038/498040a","2013-06-05","Theoretical physics: Sizing up atoms","Nature","0028-0836","Nature Publishing Group",339
"10.1016/j.ymeth.2013.03.037","2013-04","Method for quantitative measurements of the elastic modulus of biological cells in AFM indentation experiments","Methods","1046-2023","Elsevier BV",78
"10.1093/jiplp/jps219","2013-02-20","Trade secrets for beginners","Journal of Intellectual Property Law & Practice","1747-1532","Oxford University Press (OUP)",286
"10.3109/0284186x.2013.764011","2013-04","A phase II study of hypofractionated proton therapy for prostate cancer","Acta Oncol","0284-186X","Informa Healthcare",3197
"10.1016/j.jjie.2013.02.001","2013-06","Central banks and gold puzzles","Journal of the Japanese and International Economies","0889-1583","Elsevier BV",78
"10.1001/archneur.70.5.546","2013-05-01","About This Journal","JAMA Neurol","2168-6149","American Medical Association (AMA)",10
"10.3280/sp2013-002002","2013-07","Superare l'implementation gap: il lavoro flessibile in 20 aziende statunitensi","SOCIOLOGIA E POLITICHE SOCIALI","1591-2027","Franco Angeli",4169
"10.15275/rusomj.2013.0205","2013-06-25","Prescribing Pattern of Antidepressant Drugs among General Practitioners and Psychiatrists: a study from Iran","RusOMJ","2304-3415","LLC Science and Innovations",5945
"10.3747/pdi.2012.00272","2013-11-01","Bariatric Surgery in a Patient on Peritoneal Dialysis","Peritoneal Dialysis International","0896-8608","MultiMed Inc.",2059
"10.1177/0957154x13483051","2013-08-27","'Pauper Lunatics and their Treatment', by Joshua Harrison Stallard (1870)","History of Psychiatry","0957-154X","SAGE Publications",179
"10.1177/2321023013482781","2013-06-01","Introduction to the First Issue","Studies in Indian Politics","2321-0230","SAGE Publications",179
"10.1107/s1744309113021520","2013-08-23","Structure of zebrafish MO25","Acta Cryst F","1744-3091","International Union of Crystallography (IUCr)",329
"10.1016/j.tree.2013.03.007","2013-06","Equal opportunity metrics should benefit all researchers","Trends in Ecology & Evolution","0169-5347","Elsevier BV",78
"10.5901/ajis.2013.v2n9p259","2013-10-01","Middlesex as a Bildungsroman: Cal/lie and the Problem of Identity","Academic Journal of Interdisciplinary Studies","2281-3993","Mediterranean Center of Social and Educational Research",3913
"10.3109/19401736.2012.748040","2013-06"," Genetic variation between two Tibetan macaque ( Macaca thibetana ) populations in the eastern China based on mitochondrial DNA control region sequences ","Mitochondrial DNA","1940-1736","Informa Healthcare",3197
"10.1136/tobaccocontrol-2012-050843","2013-04-15","Minimising the harm from nicotine use: finding the right regulatory framework","Tobacco Control","0964-4563","BMJ",239
"10.1016/j.conbuildmat.2013.07.006","2013-11","Assessment of service life models for determination of chloride penetration into silica fume concrete in the severe marine environmental condition","Construction and Building Materials","0950-0618","Elsevier BV",78
"10.1080/22297928.2013.838455","2013-11-02","Stability Indicating Spectrophotometric and Chemometric Methods for Determination of Buflomedil in Presence of its Acid Induced Degradation Products","Analytical Chemistry Letters","2229-7928","Informa UK Limited",301
"10.1017/s0022278x13000736","2013-11-18","Transforming Masculinities in African Christianity: Gender Controversies in Times of AIDS by Adriaan S. Van Klinken Farnham, UK: Ashgate, 2013. Pp. 240. ü¾¶¼55 (hbk)","The Journal of Modern African Studies","0022-278X","Cambridge University Press (CUP)",56
"10.4156/jcit.vol8.issue8.148","2013-04-30","The Bending Mechanics Property of Salix Gordejecii","JCIT","1975-9320","AICIT",2647
"10.3109/13693786.2012.723831","2013-05"," Detection and characterization of Histoplasma capsulatum in a German badger ( Meles meles ) by ITS sequencing and multilocus sequencing analysis ","Med Mycol","1369-3786","Oxford University Press (OUP)",286
"10.1017/s0738248013000151","2013-05","Lloyd Bonfield, Devising, Dying and Dispute: Probate Litigation in Early Modern England, Burlington, VT: Ashgate Publishing Ltd., 2012. Pp. 293. $119.95 (ISBN 978-1-4094-3427-6).","Law and History Review","0738-2480","Cambridge University Press (CUP)",56
"10.1016/j.ijleo.2012.07.011","2013-09","The relation between the propagation of extraordinary ray and the optical axis in the uniaxial crystal","Optik - International Journal for Light and Electron Optics","0030-4026","Elsevier BV",78
"10.1111/psyp.12035","2013-03-11","Positive and negative affect in adolescent self-evaluation: Psychometric information in single trials used to generate dimension-specific ERPs and neural source models","Psychophysiol","0048-5772","Wiley-Blackwell",311
"10.1142/s0217751x13300500","2013-11-20","A CRITICAL HISTORY OF RENORMALIZATION","Int. J. Mod. Phys. A","0217-751X","World Scientific Pub Co Pte Lt",219
"10.4028/www.scientific.net/msf.770.95","2013-10","Experimental Study on Heat Transfer Effect of Heat Pipe Grinding Wheel","MSF","1662-9752","Trans Tech Publications",2457
"10.1002/ange.201382813","2013-07-04","Top-Beitrü¾¼ge aus unseren Schwesterzeitschriften: Angew. Chem. 28/2013","Angew. Chem.","0044-8249","Wiley-Blackwell",311
"10.15300/jcw.2013.06.45.211","2013-06-30","Comparison of Community Welfare Network Models - Between Pyeongtaek Council of Social Welfare and Namyangju Community Welfare Council -","Journal of community welfare","2093-4270","Korea Association of Community Welfare Studies",5957
"10.1093/phimat/nkt018","2013-06-01","Introduction: Logicism Today","Philosophia Mathematica","0031-8019","Oxford University Press (OUP)",286
"10.1007/s15006-013-0076-0","2013-02","Was man an den Augen ablesen kann","MMW - Fortschritte der Medizin","1438-3276","Springer Science + Business Media",297
"10.1016/j.jallcom.2012.09.044","2013-02","Deformation behavior of Mg67Zn28Ca5 metallic glass at near supercooled liquid region","Journal of Alloys and Compounds","0925-8388","Elsevier BV",78
"10.1016/j.seppur.2013.04.053","2013-08","An excellent method to produce morpholine by bipolar membrane electrodialysis","Separation and Purification Technology","1383-5866","Elsevier BV",78
"10.1016/s0168-8278(13)60897-1","2013-04","895 EVALUATION OF PROFILE RELAPSED AND PERSISTENT SUSTAINED VIRAL RESPONSE IN PATIENTS WITH HEPATITIS C WHICH RECEIVED DIRECT-ACTING ANTIVIRAL DRUGS","Journal of Hepatology","0168-8278","Elsevier BV",78
"10.1177/1532440012456540","2013-01-03","Old versus New: The Comparative Efficiency of Mail and Internet Surveys of State Legislators","State Politics & Policy Quarterly","1532-4400","SAGE Publications",179
"10.1142/s0218271813600109","2013-09","TeV ASTROPHYSICS WITH THE MILAGRO AND HAWC OBSERVATORIES","Int. J. Mod. Phys. D","0218-2718","World Scientific Pub Co Pte Lt",219
"10.1007/s12206-012-1247-0","2013-02","Optimal design of linear vibrators used in touch screen mobile phones","J Mech Sci Technol","1738-494X","Springer Science + Business Media",297
"10.3934/cpaa.2014.13.97","2013-07","Asymptotic behavior of positive solutions for a class of quasilinear elliptic equations with general nonlinearities","CPAA","1534-0392","American Institute of Mathematical Sciences (AIMS)",2321
"10.1016/j.nephro.2013.07.289","2013-09","Survivre (sus)pendu ü¾¼ une machine de dialyse dans lentre-deux des thü¾¼rapeutiques mü¾¼dicales palliativesü¾¼: approche psychopathologique et clinique du sujet en insuffisance rü¾¼nale chronique et dialysü¾¼","Néphrologie & Thérapeutique","1769-7255","Elsevier BV",78
"10.1007/s00120-013-3206-5","2013-06-12","Das T1-Blasenkarzinom","Der Urologe","0340-2592","Springer Science + Business Media",297
"10.1016/j.msec.2012.12.025","2013-04","Protein growth factors loaded highly porous chitosan scaffold: A comparison of bone healing properties","Materials Science and Engineering: C","0928-4931","Elsevier BV",78
"10.1093/mp/sst088","2013-11","Natural Variation in OsPRR37 Regulates Heading Date and Contributes to Rice Cultivation at a Wide Range of Latitudes","Molecular Plant","1674-2052","Elsevier BV",78
"10.1038/nrn3534","2013-06-05","Sensory systems: The asymmetric niches","Nature Reviews Neuroscience","1471-003X","Nature Publishing Group",339
"10.2308/accr-50387","2013-05","The Role of Financial Reporting Quality in Mitigating the Constraining Effect of Dividend Policy on Investment Decisions","The Accounting Review","0001-4826","American Accounting Association",1112
"10.1007/s10900-013-9810-x","2013-12-25","Nutrition Education Intervention with Community-Dwelling Older Adults: Research Challenges and Opportunities","J Community Health","0094-5145","Springer Science + Business Media",297
"10.1016/j.apm.2013.02.053","2013-09","Zonal modeling of radiative heat transfer in industrial furnaces using simplified model for exchange area calculation","Applied Mathematical Modelling","0307-904X","Elsevier BV",78
"10.1162/rest_a_00283","2013-05","Chinese Graduate Students and U.S. Scientific Productivity","Review of Economics and Statistics","0034-6535","MIT Press - Journals",281
"10.1093/notesj/gjt156","2013-08-25","An Early Usage of wank, Antedating OED Entry","Notes and Queries","0029-3970","Oxford University Press (OUP)",286
